,,,,,,,Electron Removal Energies (Ionization Potentials) of Atoms and Atomic Ions (eV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
16,Sulfur,S,,2.0771040,10.36001,23.33788,34.79,47.222,72.5945,88.053,280.948,328.75,379.55,447.5,504.8,564.44,652.2,707.01,3223.78,3494.1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Chlorine,Cl,,3.6127240,12.96763,23.8136,39.61,53.4652,67.8,97.03,114.1958,348.28,400.06,455.63,529.28,591.99,656.71,749.76,809.4,3658.521,3946.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Argon,Ar,,0.0000000,15.75961,27.62966,40.74,59.81,75.02,91.009,124.323,143.46,422.45,478.69,538.96,618.26,686.1,755.74,854.77,918.03,4120.8857,4426.2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Potassium,K,,0.5014590,4.3406633,31.63,45.806,60.91,82.66,99.4,117.56,154.88,175.8174,503.8,564.7,629.4,714.6,786.6,861.1,968,1033.4,4610.8,4934.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Calcium,Ca,,0.0245500,6.11316,11.87172,50.9131,67.27,84.5,108.78,127.2,147.24,188.54,211.275,591.9,657.2,726.6,817.6,894.5,974,1087,1157.8,5128.8,5469.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Scandium,Sc,,0.1880000,6.56149,12.79977,24.75666,73.4894,91.65,110.68,138,158.1,180.03,225.18,249.798,687.36,756.7,830.8,927.5,1009,1094,1213,1287.97,5674.8,6033.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Titanium,Ti,,0.0790000,6.82812,13.5755,27.4917,43.2672,99.3,119.53,140.8,170.4,192.1,215.92,265.07,291.5,787.84,863.1,941.9,1044,1131,1221,1346,1425.4,6249,6625.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Vanadium,V,,0.5260000,6.74619,14.618,29.311,46.709,65.2817,128.13,150.6,173.4,205.8,230.5,255.7,308.1,336.277,896,976,1060,1168,1260,1355,1486,1569.6,6851.3,7246.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chromium,Cr,,0.6758400,6.76651,16.4857,30.96,49.16,69.46,90.6349,160.18,184.7,209.3,244.4,270.8,298,354.8,384.168,1010.6,1097,1185,1299,1396,1496,1634,1721.4,7481.7,7894.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Manganese,Mn,,0.0000000,7.43402,15.64,33.668,51.2,72.4,95.6,119.203,194.5,221.8,248.3,286,314.4,343.6,403,435.163,1134.7,1224,1317,1437,1539,1644,1788,1879.9,8140.6,8571.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
