,,,,,,,Electron Removal Energies (Ionization Potentials) of Atoms and Atomic Ions (eV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
59,Praseodymium,Pr,,0.9620000,5.473,10.55,21.624,38.98,57.53,82,97,112,131,148,162,196,217.02,350,378,412,445,478,516,554,590,627,663,803,840,880,920,985,1028,1124,1169.94,2019,2108,2202,2304,2400,2501,2628,2729,2838,2941,3227,3319,3419,3512,3729,3832,4030,4130,9378,9632,9913,10175,10959,11262,11641,11895.89,48571.71,49722.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Neodymium,Nd,,0.1620000,5.525,10.72,22.1,40.4,60,84,99,114,136,152,168,195,221,243,389,420,453,489,522,562,602,638,678,714,859,896,939,978,1049,1092,1191,1238.42,2134,2224,2321,2425,2525,2627,2758,2861,2974,3078,3371,3465,3567,3662,3891,3997,4198,4302,9742,10002,10288,10555,11384,11694,12082,12341.66,50339.587,51515.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Promethium,Pm,,0.1290000,5.582,10.9,22.3,41.1,61.69,85,101,116,138,155,174,202,229,248,269,430,462,497,534,569,609,651,689,730,767,916,956,998,1040,1113,1158,1261,1308.7,2251,2344,2443,2549,2652,2755,2892,2997,3110,3219,3519,3613,3718,3816,4056,4166,4371,4476,10115,10378,10671,10942,11819,12136,12532,12797.26,52144.29,53346.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Samarium,Sm,,0.1620000,5.6437,11.07,23.4,41.4,62.66,90,103,118,141,158,179,208,237,257,276,306.5,474,506,543,581,617,658,702,742,782,822,976,1016,1060,1103,1180,1226,1332,1381.6,2371,2466,2569,2676,2782,2887,3028,3137,3253,3363,3669,3766,3873,3971,4227,4337,4548,4655,10494,10762,11060,11337,12264,12588,12992,13262.85,53986.11,55214.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Europium,Eu,,0.1160000,5.67038,11.25,24.92,42.7,63,88,105,120,144,161,183,213,243,263,281,311,344.4,518,553,590,630,667,709,755,795,838,879,1037,1078,1124,1167,1249,1296,1406,1456.06,2495,2591,2697,2807,2914,3022,3168,3279,3398,3510,3823,3921,4031,4131,4400,4510,4729,4838,10880,11153,11457,11739,12718,13050,13462,13738.58,55865.9,57120.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Gadolinium,Gd,,0.1370000,6.1498,12.09,20.63,44,64.76,89,106,123,144,165,183,213,246,268,288,319,352,380,565,601,639,680,719,761,810,851,895,937,1100,1142,1189,1233,1321,1368,1481,1532.35,2621,2720,2827,2941,3050,3160,3312,3424,3550,3660,3980,4080,4191,4294,4578,4693,4914,5025,11273,11552,11861,12147,13183,13521,13943,14224.57,57783.9,59065.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Terbium,Tb,,0.4360000,5.8638,11.52,21.91,39.79,66.5,90,108,125,143,168,186,216,250,270,294,325,358,393,426.6,613,651,690,732,772,816,866,909,954,997,1165,1208,1256,1301,1393,1443,1559,1610.38,2750,2852,2961,3078,3189,3300,3458,3573,3698,3814,4139,4242,4355,4460,4760,4877,5103,5217,11673,11957,12272,12563,13658,14003,14434,14721,59739.25,61049.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Dysprosium,Dy,,0.3520000,5.9389,11.67,22.8,41.47,62.08,93,110,127,152,170,192,224,259,279,300,332,366,399,431,465,664,702,743,786,827,872,924,969,1014,1059,1232,1275,1325,1371,1468,1520,1638,1691.74,2882,2987,3098,3217,3331,3445,3607,3725,3852,3970,4303,4407,4523,4629,4945,5066,5296,5412,12081,12370,12690,12986,14144,14495,14936,15228.06,61736.55,63073.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Holmium,Ho,,0.3380000,6.0215,11.8,22.84,42.5,63.93,95,112,129,155,174,196,229,263,284,305,340,373,408,441,475,510,715,755,797,842,885,929,985,1029,1077,1122,1300,1346,1395,1443,1545,1598,1719,1773.57,3018,3125,3238,3359,3476,3592,3760,3880,4009,4131,4469,4576,4693,4802,5135,5258,5494,5611,12495,12790,13116,13417,14639,14998,15448,15745.77,63772.42,65136.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Erbium,Er,,0.3120000,6.1077,11.93,22.74,42.7,65.1,96,114,131,158,177,201,235,268,290,311,345,381,415,450,486,520,555,770,810,853,899,943,989,1046,1092,1142,1188,1370,1416,1468,1516,1625,1678,1803,1859,3157,3265,3381,3505,3624,3742,3916,4038,4170,4294,4639,4748,4866,4978,5329,5455,5695,5815,12918,13217,13548,13855,15146,15511,15971,16274.56,65848.24,67241.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Thulium,Tm,,0.0160000,6.18431,12.05,23.68,42.7,65.43,98,116,133,160,180,205,239,274,295,317,352,387,424,460,500,530,570,603,825,866,911,958,1004,1050,1110,1157,1207,1255,1442,1490,1542,1591,1706,1761,1889,1945.2,3300,3409,3528,3653,3775,3895,4075,4199,4335,4461,4812,4922,5044,5157,5527,5656,5901,6023,13347,13651,13988,14300,15663,16036,16500,16814.34,67965.26,69387.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Ytterbium,Yb,,0.0000000,6.25416,12.176,25.05,43.56,65.58,99,117,135,163,182,209,244,279,301,324,360,396,431,469,505,540,580,620,651,882,924,971,1019,1065,1114,1175,1224,1275,1324,1516,1564,1618,1668,1789,1845,1978,2036.4,3443,3555,3677,3805,3929,4051,4238,4364,4502,4630,4988,5101,5224,5339,5731,5860,6111,6236,13784,14093,14435,14752,16191,16570,17050,17365.44,70123.04,71574.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Lutetium,Lu,,0.3400000,5.42586,13.9,20.9594,45.25,66.8,98,117,136,159,185,205,238,276,305,328,361,399,438,476,520,560,600,640,670,713,941,985,1032,1081,1130,1178,1242,1292,1345,1395,1591,1641,1696,1747,1875,1933,2067,2125.5,3590,3706,3828,3960,4086,4211,4403,4532,4673,4803,5168,5282,5408,5525,5937,6070,6326,6452,14228,14542,14890,15211,16730,17120,17610,17928.05,72322.91,73804.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Hafnium,Hf,,0.1140000,6.82507,15,23.3,33.33,68.375,98,118,138,157,187,209,230,270,310,334,359,399,440,481,520,560,610,650,690,730,772,1002,1047,1094,1146,1195,1245,1311,1362,1417,1467,1669,1719,1776,1827,1963,2022,2159,2218.9,3741,3858,3984,4118,4246,4372,4573,4703,4846,4980,5350,5468,5595,5713,6149,6284,6545,6674,14678,14999,15351,15680,17280,17680,18180,18502.32,74565.93,76077.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Tantalum,Ta,,0.3230000,7.54957,16.2,23.1,35,48.272,94.011,119,139,159,180,213,235,262,304,338,363,396,439,482,530,570,620,660,700,740,790,832,1064,1110,1160,1211,1262,1313,1382,1434,1490,1542,1748,1799,1857,1910,2053,2113,2254,2314.7,3898.7,4014,4143,4278,4410,4537,4745,4877,5024,5159,5537,5655,5785,5907,6364,6502,6769,6900,15137,15461,15820,16150,17840,18250,18760,19088.51,76852.02,78394.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Tungsten,W,,0.8162600,7.86403,16.1,26.02,38.21,51.59,64.766,122.01,141.2,160.2,179,208.9,231.6,258.3,290.7,325.3,361.9,387.9,420.7,462.1,502.6,543.4,594.5,640.6,686,734.1,784.4,833.4,881.4,1132.2,1180,1230.4,1283.4,1335.1,1386.8,1459.9,1512.4,1569.1,1622,1829.8,1882.9,1940.6,1994.8,2149.1,2210,2354,2414.11,4057,4180,4309,4446,4578,4709,4927,5063,5209,5348,5719,5840,5970,6093,6600,6735,7000,7130,15566,15896,16252,16588,18476,18872,19362,19686.74,79181.93,80755.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Rhenium,Re,,0.1500000,7.83352,16.6,27,39.1,51.9,67,82.71,144.4,165,187,208,236,268,291,330,377,403,429,476,520,570,620,670,720,760,810,860,910,953,1194,1242,1294,1349,1402,1454,1530,1583,1641,1696,1912,1966,2025,2080,2240,2302,2450,2514.54,4214,4335,4468,4609,4745,4877,5099,5236,5388,5528,5919,6042,6176,6300,6810,6952,7230,7366,16080,16410,16780,17120,19000,19420,19950,20297.4,81556.9,83162.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Osmium,Os,,1.0778000,8.43823,17,25,41,55,70.1,85.1,102.024,168.7,190,213,235,269,300,320,367,410,436,470,520,570,620,670,720,770,820,870,920,970,1015,1262,1311,1364,1420,1474,1528,1606,1660,1720,1776,1996,2052,2112,2168,2336,2400,2552,2615.5,4374,4501,4635,4779,4917,5052,5280,5421,5575,5717,6115,6240,6376,6503,7039,7185,7468,7610,16560,16900,17270,17620,19600,20030,20570,20920.6,83976.2,85614.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Iridium,Ir,,1.5643600,8.96702,17,28,40,57,72,89,105,123,194.8,217,240,264,303,329,356,407,445,472,510,560,610,670,720,770,820,870,920,980,1030,1080,1331,1381,1436,1493,1548,1603,1684,1739,1801,1857,2083,2139,2201,2258,2435,2500,2656,2720.4,4540,4668,4806,4952,5092,5229,5466,5609,5765,5910,6315,6441,6580,6708,7274,7421,7710,7850,17040,17390,17770,18120,20210,20650,21200,21556.6,86438.9,88113.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Platinum,Pt,,2.1251000,8.9588,18.563,29,43,56,75,91,109,126,144.9,220.4,245,269,293,332,358,392,445,479,507,550,610,660,710,760,820,870,930,980,1040,1090,1140,1402,1454,1509,1567,1624,1680,1763,1821,1883,1941,2171,2228,2291,2350,2536,2603,2762,2827.8,4715,4839,4980,5128,5270,5410,5654,5800,5959,6106,6517,6646,6787,6918,7512,7660,7960,8100,17540,17890,18280,18630,20840,21280,21840,22205.7,88955.17,90660,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Gold,Au,,2.3086100,9.22553,20.2,30,45,60,74,94,112,130.1,149,168.2,200,275,299,324,365,392,433,487,520,550,600,650,710,760,820,870,930,990,1040,1100,1150,1210,1475,1527,1584,1644,1702,1758,1845,1904,1967,2026,2261,2320,2383,2443,2640,2708,2870,2941,4888,5013,5156,5307,5452,5594,5846,5994,6156,6305,6724,6854,6997,7130,7760,7910,8210,8360,18040,18400,18790,19150,21470,21920,22500,22868.12,91515.82,93254.3,,,,,,,,,,,,,,,,,,,,,,,,,
80,Mercury,Hg,,0.0000000,10.4375,18.7568,34.2,48.55,61.2,76.6,93,113.9,134,153,173,192.7,276.9,307,332,357,402,429,477,530,560,590,650,710,760,820,880,930,990,1050,1110,1160,1220,1280,1549,1603,1661,1723,1780,1839,1928,1989,2052,2113,2354,2412,2478,2539,2745,2815,2981,3049.9,5055,5191,5335,5490,5636,5780,6041,6192,6356,6508,6933,7066,7211,7350,8000,8160,8470,8620,18550,18910,19310,19680,22120,22580,23170,23544.1,94124.7,95897.7,,,,,,,,,,,,,,,,,,,,,,,,
81,Thallium,Tl,,0.3770000,6.108194,20.4283,29.83,51.14,62.6,80,98,116,135,158,177,198,218.3,306.9,340,366,392,439,467,520,570,600,640,700,760,820,880,930,990,1060,1110,1170,1230,1290,1350,1625,1681,1740,1802,1862,1920,2014,2075,2140,2202,2447,2508,2574,2635,2854,2925,3094,3164.7,5234,5371,5518,5674,5824,5969,6241,6392,6560,6714,7146,7281,7430,7560,8260,8420,8730,8880,19070,19440,19840,20210,22780,23260,23850,24234.1,96783.2,98591.6,,,,,,,,,,,,,,,,,,,,,,,
82,Lead,Pb,,0.3640000,7.41663,15.03248,31.9373,42.32,68.8,82.9,100.1,120,138,158,182,203,224,245.1,338.1,374,401,428,478,507,570,610,650,690,750,810,870,930,990,1050,1120,1180,1240,1300,1360,1430,1704,1760,1819,1884,1945,2004,2101,2163,2230,2292,2543,2605,2671,2735,2965,3036,3211,3282.1,5414,5555,5703,5862,6015,6160,6442,6597,6767,6924,7362,7500,7650,7790,8520,8680,9000,9150,19590,19970,20380,20750,23460,23940,24550,24938,99491.85,101336.4,,,,,,,,,,,,,,,,,,,,,,
83,Bismuth,Bi,,0.9423620,7.2855,16.703,25.56,45.3,56,88.3,103,122,143,161.1,183,208,229,252,272.6,370.2,409,436,464,520,550,620,660,690,750,810,870,930,990,1060,1120,1180,1250,1310,1380,1440,1500,1784,1840,1902,1967,2029,2090,2190,2253,2321,2385,2641,2703,2771,2835,3078,3151,3329,3401.8,5599,5740,5892,6054,6208,6358,6648,6804,6977,7137,7580,7720,7870,8010,8780,8950,9270,9430,20130,20500,20920,21300,24150,24640,25260,25656.9,102251.76,104132.8,,,,,,,,,,,,,,,,,,,,,
84,Polonium,Po,,1.9000000,8.414,19.3,27,36,57,69.1,108,125,146.1,166,190,209,235,257,281,304,416,444,473,502,560,590,670,700,740,800,860,930,990,1060,1120,1180,1250,1320,1380,1440,1510,1570,1865,1923,1986,2052,2115,2177,2281,2345,2414,2480,2740,2803,2873,2938,3194,3268,3450,3524.2,5785,5930,6084,6248,6405,6557,6856,7015,7191,7350,7810,7940,8100,8240,9050,9220,9550,9710,20670,21050,21470,21860,24860,25360,25990,26390.4,105064.3,106982.7,,,,,,,,,,,,,,,,,,,,
85,Astatine,At,,2.8000000,9.31751,17.88,26.58,39.65,50.39,72,85.1,130.1,149,169,192.1,212,236,263,287,311,335,452,481,510,540,600,630,720,750,790,860,920,990,1050,1120,1180,1250,1320,1380,1450,1510,1590,1650,1948,2007,2071,2139,2203,2266,2373,2439,2510,2576,2841,2905,2977,3042,3312,3388,3573,3649,5980,6122,6279,6445,6604,6759,7068,7230,7410,7570,8030,8180,8330,8480,9330,9500,9830,9990,21210,21600,22030,22420,25580,26080,26730,27139,107923.4,109886,,,,,,,,,,,,,,,,,,,
86,Radon,Rn,,0.0000000,10.7485,21.4,29.4,36.9,52.9,64,88,102,154,173.9,195,218,240,264,293,317,342,367,488,519,549,579,643,680,760,800,850,920,980,1050,1120,1180,1250,1310,1390,1460,1520,1590,1660,1720,2033,2094,2158,2227,2293,2357,2467,2535,2606,2674,2944,3010,3082,3149,3433,3510,3699,3777,6169,6318,6476,6646,6807,6964,7283,7450,7630,7800,8260,8410,8570,8710,9610,9780,10120,10290,21770,22160,22600,23000,26310,26830,27490,27903.1,110842,112843.7,,,,,,,,,,,,,,,,,,
87,Francium,Fr,,0.4860000,4.072741,22.4,33,39.1,50,67,80,106,120,179,200,222.1,245,269,293,324,349,375,400,530,560,590,620,690,720,820,850,910,980,1040,1110,1180,1250,1320,1380,1460,1530,1600,1670,1740,1810,2119,2182,2247,2317,2384,2450,2564,2631,2706,2774,3049,3115,3190,3257,3556,3635,3828,3907,6365,6516,6678,6849,7013,7172,7500,7670,7850,8020,8500,8640,8800,8950,9890,10070,10420,10580,22330,22730,23170,23570,27060,27590,28260,28683.4,113817.2,115859,,,,,,,,,,,,,,,,,
88,Radium,Ra,,0.1000000,5.278423,10.14715,31,41,52.9,64,82,97,124,140,204.9,227,250,274,299,324,356,382,409,435,570,600,630,660,740,770,860,900,970,1040,1110,1180,1250,1320,1390,1460,1530,1610,1680,1750,1820,1880,2208,2271,2338,2409,2477,2544,2662,2731,2806,2876,3155,3224,3300,3368,3682,3762,3959,4040,6565,6718,6881,7056,7222,7380,7720,7890,8080,8250,8730,8880,9040,9200,10190,10360,10720,10890,22900,23300,23750,24160,27830,28370,29050,29479.8,116848.7,118931.3,,,,,,,,,,,,,,,,
89,Actinium,Ac,,0.3500000,5.17,11.75,17.431,44.8,55,67,79,98.9,113.9,143.9,161.1,233,255,279,305,330,355,390,416,444,470,610,640,670,710,780,820,920,950,1030,1100,1170,1240,1310,1380,1460,1530,1610,1680,1750,1820,1900,1970,2298,2362,2430,2503,2572,2639,2762,2833,2908,2980,3264,3334,3409,3479,3811,3893,4093,4175,6767,6923,7088,7265,7430,7600,7950,8120,8310,8480,8970,9120,9290,9440,10480,10660,11030,11200,23480,23890,24340,24760,28610,29160,29850,30293,119939,122062.9,,,,,,,,,,,,,,,
90,Thorium,Th,,0.3680000,6.3067,11.9,20,28.8,58,69.1,82,95,118,133,165,181,262,285,310,336,362,389,424,451,480,508,650,680,720,750,830,900,970,1010,1090,1160,1240,1310,1380,1460,1530,1600,1680,1760,1830,1910,2000,2060,2390,2455,2524,2598,2669,2737,2860,2935,3013,3086,3375,3445,3522,3593,3943,4025,4230,4313,6972,7130,7299,7480,7650,7820,8180,8350,8550,8720,9220,9370,9540,9690,10790,10970,11340,11510,24060,24480,24940,25360,29410,29970,30680,31122.8,123086.4,125253.4,,,,,,,,,,,,,,
91,Protactinium,Pa,,0.3840000,5.89,11.9,19,30.9,44.3,72,85.1,98.9,111,137,153,187,203,292,316,342,369,395,423,460,488,518,546,690,720,760,790,880,920,1020,1060,1150,1220,1300,1370,1450,1520,1600,1670,1760,1830,1910,2000,2060,2130,2483,2550,2620,2696,2766,2837,2968,3040,3119,3193,3488,3558,3637,3709,4077,4161,4370,4454,7181,7341,7510,7690,7870,8040,8410,8590,8780,8960,9460,9620,9790,9950,11100,11280,11660,11840,24660,25080,25540,25970,30230,30800,31520,31971.6,126296.6,128507,,,,,,,,,,,,,
92,Uranium,U,,0.3730000,6.1941,10.6,19.8,36.7,46,60,89,101,116,129,158,173,210,227,323,348,375,402,431,458,497,525,557,585,730,770,800,840,930,970,1070,1110,1210,1290,1360,1440,1520,1590,1670,1750,1830,1910,1990,2070,2140,2220,2578,2646,2718,2794,2867,2938,3073,3147,3228,3301,3602,3675,3753,3827,4214,4299,4510,4598,7393,7550,7730,7910,8090,8260,8650,8830,9030,9210,9720,9870,10040,10200,11410,11600,11990,12160,25260,25680,26150,26590,31060,31640,32400,32836.5,129570.3,131821,,,,,,,,,,,,
93,Neptunium,Np,,0.3130000,6.2657,11.5,19.7,33.8,48,65,92,107,121,136,151,179,196,233,252,355,382,408,438,466,495,535,565,596,626,770,810,850,880,980,1020,1130,1170,1280,1360,1430,1510,1590,1670,1740,1820,1910,1990,2070,2140,2230,2310,2675,2745,2817,2894,2969,3041,3181,3255,3338,3413,3718,3792,3872,3947,4353,4441,4658,4744,7610,7770,7950,8130,8310,8480,8890,9070,9270,9450,9970,10130,10300,10460,11740,11930,12320,12500,25870,26300,26770,27210,31910,32500,33300,33722.2,132901.8,135202,,,,,,,,,,,
94,Plutonium,Pu,,0.0850000,6.026,11.2,21,35,49,80,95,109,124,139,159,179,200,219,258,278,389,416,444,474,503,532,575,605,637,668,820,850,890,930,1030,1070,1180,1220,1340,1420,1500,1580,1660,1740,1820,1890,1990,2070,2150,2230,2310,2390,2774,2844,2918,2997,3072,3146,3290,3366,3449,3527,3836,3911,3993,4068,4496,4585,4807,4890,7820,7990,8170,8360,8540,8720,9130,9310,9520,9700,10230,10390,10570,10730,12060,12260,12660,12840,26480,26920,27400,27840,32800,33400,34100,34625.8,136299.2,138646,,,,,,,,,,
95,Americium,Am,,0.076,5.9738,11.7,21.7,36.8,50,67.9,95,110,126,141,162,184,206,225,242,284,305,424,451,481,511,541,571,616,646,680,711,860,900,940,980,1090,1130,1240,1280,1410,1490,1570,1650,1740,1820,1900,1980,2070,2160,2240,2320,2410,2480,2874,2946,3021,3101,3178,3251,3402,3479,3563,3641,3956,4033,4115,4191,4642,4733,4960,5050,8040,8210,8400,8590,8770,8950,9380,9560,9770,9960,10490,10650,10830,11000,12400,12600,13000,13190,27110,27550,28040,28500,33700,34300,35100,35549.4,139769.5,142161,,,,,,,,,
96,Curium,Cm,,0.3210000,5.9914,10,20.1,37.7,51,69.1,97,112,128,144,167,190,212,235,253,272,311,332,460,489,518,550,580,611,657,689,723,755,910,950,990,1030,1140,1180,1300,1340,1480,1560,1640,1730,1810,1890,1980,2060,2160,2240,2320,2410,2490,2580,2976,3050,3125,3207,3284,3360,3515,3593,3679,3758,4078,4156,4239,4317,4791,4880,5110,5200,8270,8440,8620,8820,9000,9180,9630,9820,10020,10220,10760,10920,11100,11270,12740,12950,13360,13550,27740,28180,28700,29100,34600,35200,36000,36493,143299.6,145743,,,,,,,,
97,Berkelium,Bk,,0.0310000,6.1979,11.9,21.6,36,56,70.1,90,114,130,147,171,195,218,240,259,279,303,339,361,497,526,557,590,621,652,700,733,768,800,960,1000,1040,1080,1200,1240,1360,1410,1550,1630,1720,1800,1890,1970,2050,2140,2240,2320,2410,2490,2580,2670,3080,3154,3232,3315,3393,3469,3630,3709,3797,3877,4202,4281,4365,4445,4940,5040,5270,5360,8500,8670,8850,9050,9240,9420,9880,10070,10280,10480,11020,11190,11380,11540,13090,13300,13720,13910,28380,28800,29300,29800,35500,36200,37000,37457.6,146904.7,149398,,,,,,,
98,Californium,Cf,,0.0180000,6.2817,11.8,22.4,37.7,51.9,75,91,112.9,133,152,178,202,225,247,265,286,310,334,368,390,536,566,597,630,662,695,744,778,814,847,1010,1050,1090,1120,1250,1300,1420,1460,1620,1700,1790,1880,1960,2050,2130,2220,2320,2410,2490,2580,2670,2750,3186,3261,3340,3424,3503,3581,3747,3828,3915,3998,4329,4407,4494,4574,5100,5190,5430,5520,8730,8900,9090,9290,9480,9660,10140,10330,10550,10740,11300,11470,11650,11820,13450,13660,14080,14280,29000,29500,30000,30500,36500,37100,37900,38443.5,150579.3,153124,,,,,,
99,Einsteinium,Es,,0.0020000,6.42,12,22.7,38.8,54.1,71,97,112.9,137,157,180,206,231,252,270,294,317,342,367,398,421,576,606,638,672,705,738,790,824,861,895,1060,1100,1140,1180,1310,1360,1480,1530,1690,1780,1870,1950,2040,2130,2220,2300,2410,2490,2580,2680,2760,2900,3294,3370,3449,3535,3616,3694,3866,3947,4038,4120,4456,4537,4620,4700,5260,5350,5600,5690,8960,9140,9330,9530,9720,9910,10400,10590,10810,11010,11570,11740,11930,12110,13810,14030,14460,14700,29700,30100,30700,31100,37400,38100,38900,39451.4,154328,156926,,,,,
100,Fermium,Fm,,0.0000000,6.5,10,23.2,39.3,55,74,93,120,136,162,185,209,237,257,276,300,326,351,377,402,430,453,616,647,680,716,749,782,837,871,909,944,1110,1150,1190,1230,1370,1420,1550,1600,1770,1860,1940,2030,2120,2210,2300,2390,2490,2590,2680,2760,2850,2950,3403,3480,3561,3647,3730,3810,3986,4070,4160,4245,4586,4670,4760,4840,5420,5510,5760,5860,9200,9370,9570,9770,9970,10160,10660,10860,11080,11280,11850,12020,12220,12390,14180,14400,14800,15000,30300,30800,31300,31800,38400,39100,40000,40482.2,158152.5,160804,,,,
101,Mendelevium,Md,,0.0000000,6.58,10,24.3,40,54.1,76,96,115.1,143.9,162,187,215,240,260,282,307,334,360,386,412,438,462,486,659,690,723,760,794,828,885,920,958,994,1160,1200,1250,1290,1430,1480,1620,1660,1840,1930,2020,2110,2200,2290,2380,2480,2580,2680,2760,2860,2950,3050,3513,3592,3675,3762,3845,3926,4109,4194,4286,4371,4720,4800,4890,4970,5580,5680,5930,6030,9430,9620,9810,10020,10220,10410,10930,11130,11360,11560,12140,12310,12500,12680,14560,14800,15200,15400,31000,31500,32000,32500,39500,40100,41000,41548,,164764,,,
102,Nobelium,No,,0.0000000,6.65,12.5,25.8,41.5,60,74,97,119,140,170,187,216,246,267,290,312,341,367,394,420,448,475,496,520,701,734,768,805,840,875,934,969,1010,1045,1220,1260,1300,1340,1500,1550,1680,1730,1920,2010,2110,2200,2290,2380,2470,2570,2680,2760,2860,2950,3050,3140,3627,3705,3790,3878,3962,4045,4234,4320,4413,4500,4850,4930,5030,5110,5750,5850,6110,6210,9680,9860,10060,10270,10470,10660,11200,11410,11630,11840,12420,12600,12800,12980,15000,15200,15600,15800,31700,32200,32700,33200,40500,41200,42100,42632,,168806,,
103,Lawrencium,Lr,,0.465,5.354223992,14.3,21.4,43.6,56,80,96,121,143,165,197,216,244,269,290,320,344,374,403,431,460,487,510,540,560,745,779,814,852,888,922,985,1020,1061,1098,1280,1320,1360,1410,1570,1620,1760,1810,2010,2100,2190,2290,2380,2470,2570,2670,2780,2860,2960,3060,3150,3250,3741,3821,3906,3996,4082,4165,4360,4448,4540,4630,4990,5070,5160,5250,5920,6030,6290,6390,9920,10110,10310,10520,10720,10920,11480,11680,11910,12120,12710,12890,13090,13300,15300,15600,16000,16200,32400,32900,33400,33900,41600,42300,43200,43759,,172930,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
